PartijNummer,Partijen,Avelgem,Spiere-Helkijn,Totalen
PartijNummer,Partijen,Herselt,Hulshout,Laakdal,Westerlo,Totalen
2,Groen,612,471,570,1164,2817,
3,Vlaams Belang,826,646,938,1072,3482,
7,OpenVld,903,651,861,1379,3794,
12,sp.a,888,700,1186,1226,4000,
13,N-VA,3755,2507,4000,6280,16542,
15,CD&V,2507,1787,2748,5248,12290,
17,PVDA+,217,196,272,408,1093,
29,R.O.S.S.E.M.,56,31,50,59,196,
30,VCP,10,5,7,23,45,
32,ROEL,16,7,11,27,61,
33,MAMA,43,27,46,54,170,
34,Piratenpartij,41,58,62,109,270,
35,GENOEG,43,30,51,45,169,
,Totalen9917,7116,10802,17094,44929,
,11054 - Kanton Zandhoven
,
PartijNummer,Partijen,Ranst,Schilde,Wijnegem,Wommelgem,Zandhoven,Zoersel,Totalen
2,Groen,1264,834,652,719,675,1130,5274,
3,Vlaams Belang,872,704,497,643,556,852,4124,
7,OpenVld,1344,1643,509,874,761,1309,6440,
12,sp.a,763,547,484,509,480,893,3676,
13,N-VA,5862,6705,2774,3950,3963,6936,30190,
15,CD&V,2568,2286,1041,1254,2398,3336,12883,
17,PVDA+,240,180,168,190,145,256,1179,
29,R.O.S.S.E.M.,20,30,11,12,18,30,121,
30,VCP,7,6,5,3,7,8,36,
32,ROEL,17,13,18,15,15,17,95,
33,MAMA,30,34,13,19,24,28,148,
34,Piratenpartij,86,74,50,61,62,84,417,
35,GENOEG,31,21,27,23,21,38,161,
,Totalen13104,13077,6249,8272,9125,14917,64744,
,21001 - Kanton Anderlecht (BLVP)
,
,71004 - Kanton Beringen
,
PartijNummer,Partijen,Beringen,Ham,Heusden-Zolder,Leopoldsburg,Tessenderlo,Totalen
2,Groen,1557,448,1472,541,679,4697
3,Vlaams Belang,2332,527,1176,829,883,5747
7,OpenVld,2581,807,1795,784,1299,7266
12,sp.a,5898,925,4895,1950,2117,15785
13,N-VA,9675,2541,6946,3423,4324,26909
15,CD&V,5668,1605,3921,2146,2765,16105
17,PVDA+,510,139,339,217,219,1424
29,ROEL,64,19,34,20,26,163
30,R.O.S.S.E.M.,79,19,56,34,34,222
31,GENOEG,81,38,47,26,51,243
32,VCP,49,14,32,15,20,130
,Totalen28494,7082,20713,9985,12417,78691
,73006 - Kanton Bilzen
,
PartijNummer,Partijen,Bilzen,Hoeselt,Totalen
2,Groen,1276,389,1665,
3,Vlaams Belang,1501,389,1890,
7,OpenVld,2749,889,3638,
12,sp.a,2681,660,3341,
13,N-VA,6874,2460,9334,
15,CD&V,5769,1630,7399,
17,PVDA+,376,137,513,
29,ROEL,23,14,37,
30,R.O.S.S.E.M.,33,17,50,
31,GENOEG,58,17,75,
32,VCP,36,3,39,
,Totalen21376,6605,27981,
,73009 - Kanton Borgloon
,
PartijNummer,Partijen,Alken,Borgloon,Heers,Kortessem,Wellen,Totalen
2,Groen,626,297,186,317,192,1618
3,Vlaams Belang,342,321,254,285,247,1449
7,OpenVld,1169,1596,1044,896,857,5562
12,sp.a,1050,1739,1199,925,1743,6656
13,N-VA,2671,1949,1287,1901,1421,9229
15,CD&V,2014,1353,926,1511,767,6571
17,PVDA+,110,143,63,95,76,487
29,ROEL,7,9,4,5,4,29
30,R.O.S.S.E.M.,21,12,14,21,12,80
31,GENOEG,23,11,16,19,9,78
32,VCP,6,9,4,6,7,32
